St,Spy,Spx,Sny,Snx,Et,Epy,Epx,Eny,Enx,Supply Vent Facing Direction,Exhaust Vent Facing Direction,Supply Vent Flow Speed,Exhaust Vent Flow Speed,x Distance Between Vents,y Distance Between Vents,Vertical Distance Between Vents,Wind Speed,Fire Size,Wind Angle,Vis,EC,Recirculation
1,0,0,0,0,0,0,1,0,0,Top,Px,-0.9,-9.9,6,8,3.5,-2,5.7,226.0914866,30,1.87578E-19,0
1,0,0,0,0,0,0,0,1,0,Top,Ny,-4.4,-4.5,1,6,-2.5,-1.6,8.5,246.0660197,30,1.39878E-26,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,5,-6.2,2.5,7,-1,-1.4,1.8,257.6195486,30,0.003633289,0
1,0,0,0,0,0,1,0,0,0,Top,Py,-4,-9.1,3,7,2,-2.1,8.3,254.7167422,30,5.89532E-21,0
0,0,0,0,1,1,0,0,0,0,Nx,Top,8,-3.4,5,6,0,-2.9,7.8,230.7592987,27.151049,0.081068899,1
0,0,1,0,0,1,0,0,0,0,Px,Top,9.7,-5.6,7,6.5,4,-3.4,5.7,210.0262051,29.8888058,0.041684735,0
0,0,0,1,0,0,0,0,0,1,Ny,Nx,9.3,-5.8,2,7,-4.5,-2.6,4.6,262.8825664,30,0.011356669,0
0,0,0,0,1,1,0,0,0,0,Nx,Top,8.4,-0.6,7,5.5,-2.5,-3.1,10.4,221.1707855,14.79783822,0.244900047,1
0,0,0,1,0,1,0,0,0,0,Ny,Top,5,-0.5,5,7,-3.5,-2.5,1,223.6646324,18.91734329,0.177902558,1
0,0,0,0,1,0,0,1,0,0,Nx,Px,5.7,-7.3,3.5,6,4.5,-1.9,14.5,238.2984925,30,0.003106213,0
0,1,0,0,0,1,0,0,0,0,Py,Top,4.7,-1.6,1,5,2,-1.7,9.2,260.9274932,30,0.019128415,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,7,-7.2,1,7.5,2,-1.6,4.8,252.7116996,29.68168892,0.060618894,0
0,0,0,1,0,1,0,0,0,0,Ny,Top,9.7,-5,5.5,6.5,2,-2.5,8.2,221.6910933,29.99997407,0.01801764,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,5.2,-8.3,4,7,-4.5,-2.5,2.3,240.4110015,29.90357451,0.064945586,0
0,0,1,0,0,0,0,0,1,0,Px,Ny,8.1,-9.5,6.5,7.5,-0.5,-2.8,3.8,218.9018381,16.14673706,0.215187325,1
0,1,0,0,0,0,0,0,0,1,Py,Nx,8.1,-8.9,6,8,4,-1,9.7,219.8558617,30,0.012140109,0
0,0,1,0,0,0,0,1,0,0,Px,Px,6.5,-9.5,1,5,2,-1.2,15.7,260.0434228,25.27636601,0.090079743,1
0,0,0,0,1,1,0,0,0,0,Nx,Top,6.3,-5,6.5,7.5,-3,-1.6,14,231.3912285,30,0.018347629,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,7.2,-9.1,3,6,3,-1.1,6.1,258.3290675,30,0.007100989,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,4.9,-6.9,5.5,7,0.5,-2.8,6.9,246.6133696,30,0.000718247,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,8.1,-6.9,6,6.5,1,-1.7,7.4,237.2427368,28.90409998,0.066626905,1
0,0,1,0,0,0,1,0,0,0,Px,Py,6.6,-8.2,4,7.5,-1,-1.4,7.1,243.0846735,20.75363455,0.149259969,1
0,0,1,0,0,0,1,0,0,0,Px,Py,9.1,-5.6,5.5,5,-5,-3.4,12.5,213.8777327,30,0.006688033,0
0,0,0,0,1,0,0,0,0,1,Nx,Nx,8.3,-4.4,0.5,6.5,-4,-2.4,9,258.2080574,29.13102382,0.072644123,0
0,0,0,0,1,0,0,0,0,1,Nx,Nx,6.4,-6.9,5.5,6,5,-1.8,12.3,241.4463311,30,0.017257165,0
0,0,1,0,0,0,0,0,1,0,Px,Ny,6.6,-6.8,5,6,2.5,-1.1,14.3,218.2014411,16.65598926,0.327348524,1
0,1,0,0,0,0,0,0,0,1,Py,Nx,4.3,-4.5,1.5,5,1,-3.2,4.1,251.0215246,2.684965532,1.135957401,1
0,1,0,0,0,0,0,1,0,0,Py,Px,8.9,-4.1,4,7.5,-3.5,-1.3,9.5,252.2244569,30,0.003012405,0
0,0,0,1,0,0,0,1,0,0,Ny,Px,6.1,-6.8,6.5,7.5,-3.5,-1.2,6.4,230.2980149,30,0.040029568,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,5.8,-5.7,0,6,4,-1.3,3.5,265.6723421,29.93737308,0.047054287,0
0,0,0,1,0,0,0,0,0,1,Ny,Nx,6.2,-8.4,3.5,5.5,2.5,-3.3,8.3,229.2842342,30,0.011032418,0
0,0,1,0,0,0,1,0,0,0,Px,Py,9.4,-4.7,3,7,3.5,-2.4,7.4,253.7930772,25.68251962,0.101058857,1
0,1,0,0,0,0,0,0,1,0,Py,Ny,8.5,-7.5,1,5.5,-4.5,-1.6,5.1,249.5268518,13.32646961,0.268549699,1
0,1,0,0,0,1,0,0,0,0,Py,Top,7.7,-1.1,3.5,7.5,4.5,-2.4,3.9,258.6623711,29.91898919,0.020676977,0
0,0,0,0,1,0,0,1,0,0,Nx,Px,7.6,-5.1,7,7.5,3,-1.4,11.8,239.9380465,30,0.003154029,0
0,0,0,1,0,1,0,0,0,0,Ny,Top,9.4,-5,1,6.5,0,-2.8,8.4,261.5702206,27.45210167,0.071741542,1
1,0,0,0,0,0,1,0,0,0,Top,Py,-0.5,-8.3,2.5,7,2.5,-1.7,8.9,260.0976507,30,6.2488E-20,0
0,0,0,1,0,0,0,1,0,0,Ny,Px,8,-6.5,3.5,6.5,-1,-2.3,6.1,244.554361,30,0.011152287,0
0,0,0,1,0,1,0,0,0,0,Ny,Top,4.3,-3.7,5,6,0.5,-1.3,9.4,224.9207488,30,0.005040831,0
0,1,0,0,0,0,1,0,0,0,Py,Py,9.5,-9.3,3,7,2,-1.7,15.1,239.1297358,29.99976356,0.020505287,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,7.5,-7.3,3.5,7,0,-2.2,10.3,236.0629832,28.89212859,0.030914458,1
0,0,0,1,0,0,0,1,0,0,Ny,Px,10,-9.4,3,7.5,3.5,-2.8,13.6,254.4111584,30,0.000667721,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,9.7,-8.8,6.5,7.5,2,-1.7,7.2,235.3033361,30,0.018123152,0
0,0,1,0,0,1,0,0,0,0,Px,Top,7.6,-3.4,2.5,5,-0.5,-2.1,1.6,251.7534994,22.40143305,0.165119619,1
1,0,0,0,0,0,1,0,0,0,Top,Py,-1,-7.9,6,5.5,1,-1.2,9.8,218.5088433,30,2.21502E-21,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,6.5,-5.3,2,5.5,0,-2.9,2.4,260.0274708,9.52868114,0.328999713,1
0,0,0,0,1,0,0,0,1,0,Nx,Ny,9.1,-5.3,4.5,6.5,1.5,-2.2,15.9,233.4917776,30,0.012903953,0
